State,Measure,Sector,Year,Pivot Field Names,Value
Alabama,Carbon Dioxide emissions (million metric tons),Total,1980,"Total, (million metric tons)",106.1
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,1980,"Commercial, (million metric tons)",2.6
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,1980,"Electric power, (million metric tons)",44.1
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,1980,"Industrial, (million metric tons)",31
Alabama,Carbon Dioxide emissions (million metric tons),Residential,1980,"Residential, (million metric tons)",3.6
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,1980,"Transportation, (million metric tons)",24.8
Alabama,Carbon Dioxide emissions (million metric tons),Total,1985,"Total, (million metric tons)",100.4
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,1985,"Commercial, (million metric tons)",2.5
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,1985,"Electric power, (million metric tons)",48.9
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,1985,"Industrial, (million metric tons)",22.6
Alabama,Carbon Dioxide emissions (million metric tons),Residential,1985,"Residential, (million metric tons)",2.9
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,1985,"Transportation, (million metric tons)",23.5
Alabama,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",109.9
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",2.4
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",51.4
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",25
Alabama,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",3.1
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",28
Alabama,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",131.3
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",2
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",65.6
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",28.4
Alabama,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",3.3
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",32
Alabama,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",142.1
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",2.3
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",77.4
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",25.3
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",3.7
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",33.4
Alabama,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",143.3
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",1.8
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",82.3
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2005,"Industrial, (million metric tons)",21.8
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2005,"Residential, (million metric tons)",2.7
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2005,"Transportation, (million metric tons)",34.7
Alabama,Carbon Dioxide emissions (million metric tons),Total,2010,"Total, (million metric tons)",132.8
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2010,"Commercial, (million metric tons)",2.1
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2010,"Electric power, (million metric tons)",77.4
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2010,"Industrial, (million metric tons)",18.2
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2010,"Residential, (million metric tons)",2.9
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2010,"Transportation, (million metric tons)",32.2
Alabama,Carbon Dioxide emissions (million metric tons),Total,2011,"Total, (million metric tons)",129.8
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2011,"Commercial, (million metric tons)",2
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2011,"Electric power, (million metric tons)",74.6
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2011,"Industrial, (million metric tons)",18.6
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2011,"Residential, (million metric tons)",2.3
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2011,"Transportation, (million metric tons)",32.3
Alabama,Carbon Dioxide emissions (million metric tons),Total,2012,"Total, (million metric tons)",123.1
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2012,"Commercial, (million metric tons)",1.8
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2012,"Electric power, (million metric tons)",67
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2012,"Industrial, (million metric tons)",20.7
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2012,"Residential, (million metric tons)",1.8
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2012,"Transportation, (million metric tons)",31.8
Alabama,Carbon Dioxide emissions (million metric tons),Total,2013,"Total, (million metric tons)",120.7
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2013,"Commercial, (million metric tons)",1.8
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2013,"Electric power, (million metric tons)",64.7
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2013,"Industrial, (million metric tons)",20.4
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2013,"Residential, (million metric tons)",2.2
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2013,"Transportation, (million metric tons)",31.6
Alabama,Carbon Dioxide emissions (million metric tons),Total,2014,"Total, (million metric tons)",123.1
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2014,"Commercial, (million metric tons)",1.9
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2014,"Electric power, (million metric tons)",65.6
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2014,"Industrial, (million metric tons)",21.6
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2014,"Residential, (million metric tons)",2.4
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2014,"Transportation, (million metric tons)",31.6
Alabama,Carbon Dioxide emissions (million metric tons),Total,2015,"Total, (million metric tons)",120
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2015,"Commercial, (million metric tons)",2.2
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2015,"Electric power, (million metric tons)",62.4
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2015,"Industrial, (million metric tons)",20.4
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2015,"Residential, (million metric tons)",2.1
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2015,"Transportation, (million metric tons)",32.9
Alabama,Carbon Dioxide emissions (million metric tons),Total,2016,"Total, (million metric tons)",114.9
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2016,"Commercial, (million metric tons)",2.2
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2016,"Electric power, (million metric tons)",55.6
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2016,"Industrial, (million metric tons)",20.5
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2016,"Residential, (million metric tons)",1.9
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2016,"Transportation, (million metric tons)",34.7
Alabama,Carbon Dioxide emissions (million metric tons),Total,2017,"Total, (million metric tons)",109
Alabama,Carbon Dioxide emissions (million metric tons),Commercial,2017,"Commercial, (million metric tons)",2.1
Alabama,Carbon Dioxide emissions (million metric tons),Electric power,2017,"Electric power, (million metric tons)",51
Alabama,Carbon Dioxide emissions (million metric tons),Industrial,2017,"Industrial, (million metric tons)",20.3
Alabama,Carbon Dioxide emissions (million metric tons),Residential,2017,"Residential, (million metric tons)",1.7
Alabama,Carbon Dioxide emissions (million metric tons),Transportation,2017,"Transportation, (million metric tons)",33.9
Alaska,Carbon Dioxide emissions (million metric tons),Total,1980,"Total, (million metric tons)",17.4
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,1980,"Commercial, (million metric tons)",1.2
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,1980,"Electric power, (million metric tons)",2.3
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,1980,"Industrial, (million metric tons)",6.6
Alaska,Carbon Dioxide emissions (million metric tons),Residential,1980,"Residential, (million metric tons)",0.9
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,1980,"Transportation, (million metric tons)",6.4
Alaska,Carbon Dioxide emissions (million metric tons),Total,1985,"Total, (million metric tons)",29
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,1985,"Commercial, (million metric tons)",2.1
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,1985,"Electric power, (million metric tons)",2.7
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,1985,"Industrial, (million metric tons)",11.9
Alaska,Carbon Dioxide emissions (million metric tons),Residential,1985,"Residential, (million metric tons)",1.4
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,1985,"Transportation, (million metric tons)",10.9
Alaska,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",34.6
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",2.2
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",2.6
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",16.2
Alaska,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",1.6
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",12
Alaska,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",40.9
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",2.5
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",2.4
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",21.9
Alaska,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",1.8
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",12.3
Alaska,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",44.2
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",2.7
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",3.2
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",21.1
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",1.7
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",15.5
Alaska,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",48
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",2.1
