"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"CA","Canada","1991","TOTAL","28117900","100","13938200","100","14179700","100","0.9829686100552197"
"CA","Canada","1991","0 - 14","5819400","20.696424697434733","2979000","21.372917593376474","2840400","20.03145341579864","1.0487959442332067"
"CA","Canada","1991","15 - 64","19087500","67.88380355574208","9611400","68.95725416481324","9476100","66.82863530258045","1.0142780257700952"
"CA","Canada","1991","65+","3211000","11.419771746823198","1347800","9.669828241810277","1863200","13.139911281620908","0.7233791326749678"
"CA","Canada","1992","TOTAL","28544892","100","14149082","100","14395810","100","0.9828611241743257"
"CA","Canada","1992","0 - 14","5898058","20.662393818130404","3020283","21.346141042931265","2877775","19.990365252111552","1.0495202022395775"
"CA","Canada","1992","15 - 64","19333485","67.73010386586854","9738433","68.82731331969099","9595052","66.6516993486299","1.0149432228194282"
"CA","Canada","1992","65+","3313349","11.607502316001057","1390366","9.826545637377746","1922983","13.357935399258533","0.7230256325718948"
"CA","Canada","1993","TOTAL","28953336","100","14349574","100","14603762","100","0.9825943479495215"
"CA","Canada","1993","0 - 14","5958847","20.58086501672899","3051706","21.266875239641262","2907141","19.906795249059797","1.0497275501945038"
"CA","Canada","1993","15 - 64","19571416","67.59641099733723","9861485","68.72318997065697","9709931","66.48924434676489","1.0156081438683755"
"CA","Canada","1993","65+","3423073","11.822723985933779","1436383","10.009934789701772","1986690","13.603960404175307","0.7230030855342303"
"CA","Canada","1994","TOTAL","29330810","100","14535627","100","14795183","100","0.9824567225697716"
"CA","Canada","1994","0 - 14","5999551","20.454774348202452","3073002","21.141172651169434","2926549","19.78041772109206","1.0500429003580667"
"CA","Canada","1994","15 - 64","19809379","67.53778364797972","9983917","68.6858365311658","9825462","66.40987137502793","1.016126977031716"
"CA","Canada","1994","65+","3521880","12.007442003817829","1478708","10.172990817664761","2043172","13.80971090388","0.7237315311682032"
"CA","Canada","1995","TOTAL","29690529","100","14712942","100","14977587","100","0.9823305983800995"
"CA","Canada","1995","0 - 14","6020801","20.278523834991287","3083890","20.960389839095402","2936911","19.60870599516464","1.0500454388982166"
"CA","Canada","1995","15 - 64","20046727","67.51892834243539","10105571","68.6849101967506","9941156","66.37354868978561","1.0165388210385191"
"CA","Canada","1995","65+","3623001","12.20254782257332","1523481","10.354699964154008","2099520","14.017745315049748","0.7256330018289895"
"CA","Canada","1996","TOTAL","30026324","100","14878760","100","15147564","100","0.9822543083495141"
"CA","Canada","1996","0 - 14","6026537","20.07084516905899","3087175","20.74887288994513","2939362","19.404849519038176","1.0502874433295388"
"CA","Canada","1996","15 - 64","20277316","67.53179643302325","10223253","68.71038312332479","10054063","66.37412457871113","1.0168280226610873"
"CA","Canada","1996","65+","3722471","12.397358397917774","1568332","10.540743986730076","2154139","14.221025902250686","0.7280551533582559"
"CA","Canada","1997","TOTAL","30305602","100","15017336","100","15288266","100","0.9822785657968013"
"CA","Canada","1997","0 - 14","5998215","19.792429795652964","3072780","20.461551902414648","2925435","19.135165492280155","1.0503668685169898"
"CA","Canada","1997","15 - 64","20493326","67.6222369712372","10333240","68.80874210978564","10160086","66.45675840543329","1.0170425722774394"
"CA","Canada","1997","65+","3814061","12.585333233109838","1611316","10.7297059877997","2202745","14.408076102286552","0.7315036465864183"
"CA","Canada","1998","TOTAL","30551660","100","15139789","100","15411871","100","0.9823459461865467"
"CA","Canada","1998","0 - 14","5949319","19.472981173527067","3048039","20.132638572439816","2901280","18.824969401833172","1.05058422489384"
"CA","Canada","1998","15 - 64","20705196","67.77109983549175","10441199","68.9652874290388","10263997","66.59799449398453","1.017264424375806"
"CA","Canada","1998","65+","3897145","12.755918990981177","1650551","10.902073998521379","2246594","14.57703610418229","0.7346903801933059"
"CA","Canada","1999","TOTAL","30820256","100","15273547","100","15546709","100","0.9824295932984917"
"CA","Canada","1999","0 - 14","5906491","19.164315182845986","3026523","19.81545609543088","2879968","18.524615080915197","1.0508877181968688"
"CA","Canada","1999","15 - 64","20940556","67.94413388389765","10560476","69.14226276319442","10380080","66.76705661629094","1.0173790568088108"
"CA","Canada","1999","65+","3973209","12.891550933256363","1686548","11.042281141374692","2286661","14.708328302793857","0.7375592621730986"
"CA","Canada","2000","TOTAL","31099560","100","15413053","100","15686507","100","0.9825675658704643"
"CA","Canada","2000","0 - 14","5855431","18.828018788690258","3000810","19.469277112068582","2854621","18.197939158794245","1.0512113516995776"
"CA","Canada","2000","15 - 64","21189689","68.13501219952951","10687017","69.33744404823626","10502672","66.9535416648206","1.0175522000496635"
"CA","Canada","2000","65+","4054440","13.036969011780231","1725226","11.19327883969516","2329214","14.848519176385159","0.7406902070827326"
"CA","Canada","2001","TOTAL","31376735","100","15552185","100","15824550","100","0.9827884521202814"
"CA","Canada","2001","0 - 14","5801310","18.489208644557824","2973613","19.12022651479519","2827697","17.869051568607006","1.0516024170906573"
"CA","Canada","2001","15 - 64","21436797","68.32067453799766","10812217","69.5221732508969","10624580","67.1398554777229","1.0176606510563242"
"CA","Canada","2001","65+","4138628","13.190116817444517","1766355","11.357600234307913","2372273","14.991092953670087","0.7445833595037333"
"CA","Canada","2002","TOTAL","31640961","100","15685550","100","15955411","100","0.9830865528941874"
"CA","Canada","2002","0 - 14","5751599","18.17770010209235","2948632","18.79839725097303","2802967","17.56750108160799","1.0519681466103596"
"CA","Canada","2002","15 - 64","21672800","68.49602324025493","10931698","69.69279368590837","10741102","67.31949430823187","1.0177445479988925"
"CA","Canada","2002","65+","4216562","13.32627665765272","1805220","11.508809063118603","2411342","15.113004610160152","0.7486370659989334"
"CA","Canada","2003","TOTAL","31889308","100","15811194","100","16078114","100","0.983398550352361"
"CA","Canada","2003","0 - 14","5703315","17.88472487392953","2924234","18.49470697785379","2779081","17.28486935718953","1.0522305755031969"
"CA","Canada","2003","15 - 64","21889422","68.64188460909844","11041023","69.83041887918142","10848399","67.47308173085476","1.0177559840857624"
"CA","Canada","2003","65+","4296571","13.47339051697202","1845937","11.674874142964788","2450634","15.242048911955719","0.7532487511395011"
"CA","Canada","2004","TOTAL","32134761","100","15935645","100","16199116","100","0.9837354705034521"
"CA","Canada","2004","0 - 14","5647581","17.574678710073492","2895910","18.17253082633304","2751671","16.98655037719342","1.0524186939499671"
"CA","Canada","2004","15 - 64","22104024","68.78540033330262","11149671","69.96686359416265","10954353","67.62315301649794","1.0178301721699128"
"CA","Canada","2004","65+","4383156","13.639920956623888","1890064","11.860605579504313","2493092","15.39029660630864","0.7581204383953741"
"CA","Canada","2005","TOTAL","32390571","100","16065743","100","16324828","100","0.9841293886832988"
"CA","Canada","2005","0 - 14","5579734","17.226414440177667","2861569","17.811619419033406","2718165","16.650497022081947","1.0527576508416523"
"CA","Canada","2005","15 - 64","22336066","68.95854352181688","11266948","70.13026412784022","11069118","67.80541883810352","1.0178722460091219"
"CA","Canada","2005","65+","4474771","13.815042038005442","1937226","12.058116453126381","2537545","15.54408413981452","0.763425279157611"
"CA","Canada","2006","TOTAL","32674080","100","16209675","100","16464405","100","0.9845284418112893"
"CA","Canada","2006","0 - 14","5526085","16.912748576241473","2834339","17.485477037633387","2691746","16.348881116566314","1.0529741662103334"
"CA","Canada","2006","15 - 64","22569697","69.07523333480239","11385278","70.23754640361389","11184419","67.9309030602685","1.0179588228946002"
"CA","Canada","2006","65+","4578298","14.012018088956138","1990058","12.27697655875272","2588240","15.720215823165184","0.7688846474824591"
"CA","Canada","2007","TOTAL","33005951","100","16368851","100","16637100","100","0.9838764568344243"
"CA","Canada","2007","0 - 14","5510427","16.695252925752694","2827230","17.27201255604318","2683197","16.127792704257352","1.0536796217348186"
"CA","Canada","2007","15 - 64","22812612","69.11666323445732","11498520","70.24634777358533","11314092","68.00519321275944","1.0163007336337728"
"CA","Canada","2007","65+","4682912","14.188083839789984","2043101","12.481639670371488","2639811","15.867014082983214","0.7739573022462592"
"CA","Canada","2008","TOTAL","33393043","100","16546778","100","16846265","100","0.9822223501767305"
"CA","Canada","2008","0 - 14","5543003","16.599274884891443","2844788","17.192398423427207","2698215","16.016695688925704","1.054322209312453"
"CA","Canada","2008","15 - 64","23051407","69.03056723521723","11600980","70.11020514084373","11450427","67.97012275421288","1.0131482432925865"
"CA","Canada","2008","65+","4798633","14.370157879891329","2101010","12.697396435729058","2697623","16.013181556861415","0.7788375173254379"
"CA","Canada","2009","TOTAL","33802573","100","16736134","100","17066439","100","0.9806459332260233"
