Country,Adults (thousand),Mean wealth per adult (USD),Median wealth per adult (USD),Distribution of adults (%) by wealth range (USD) (under 10_000),Distribution of adults (%) by wealth range (USD) (10_000 - 100_000),Distribution of adults (%) by wealth range (USD) (100_000 – 1 million),Distribution of adults (%) by wealth range (USD) (over 1 million),Distribution of adults (%) by wealth range (USD) (Total),Gini (%)
"Congo, Dem. Rep.",37_100,1_084,382,98.8,1.1,0.0,0.0,100,75.5
"Congo, Rep.",2_618,2_701,913,95.6,4.2,0.2,0.0,100,76.9
Afghanistan,16_838,1_463,640,98.6,1.4,0.0,0.0,100,65.5
Africa,634_831,6_488,1_219,88.5,10.8,0.6,0.0,100,82.2
Albania,2_225,31_366,14_731,38.0,57.9,3.9,0.1,100,63.7
Algeria,26_983,9_348,3_267,78.7,20.4,0.9,0.0,100,74.9
Angola,13_403,3_649,1_370,94.0,5.8,0.2,0.0,100,73.1
Antigua and Barbuda,71,24_964,6_961,61.0,35.2,3.6,0.2,100,82.3
Argentina,30_320,10_256,3_164,81.2,17.8,0.9,0.1,100,76.8
Armenia,2_177,19_517,8_309,55.0,42.7,2.2,0.1,100,66.3
Aruba,80,58_033,21_750,30.0,58.0,11.6,0.4,100,70.3
Asia-Pacific,1_194_919,54_211,4_188,65.7,24.5,9.2,0.6,100,88.0
Australia,18_655,386_058,181_361,6.7,27.6,59.4,6.3,100,65.6
Austria,7_092,274_919,94_070,22.9,28.3,44.5,4.4,100,73.9
Azerbaijan,6_997,11_865,5_150,70.1,28.8,1.0,0.0,100,65.4
Bahamas,292,76_507,20_129,39.0,46.0,14.1,0.9,100,82.8
Bahrain,1_219,87_108,30_946,29.5,50.5,19.1,0.9,100,74.7
Bangladesh,104_872,6_643,2_787,84.6,14.9,0.4,0.0,100,67.8
Barbados,214,64_658,20_497,37.0,50.0,12.4,0.6,100,77.8
Belarus,7_390,16_590,7_931,56.5,42.0,1.4,0.0,100,62.1
Belgium,8_913,246_135,117_093,0.0,45.1,51.8,3.1,100,60.3
Belize,228,10_864,3_166,78.0,20.7,1.2,0.1,100,80.3
Benin,5_475,2_166,845,97.2,2.7,0.1,0.0,100,70.7
Bolivia,6_678,11_672,3_843,76.1,22.6,1.2,0.1,100,76.4
Bosnia and Herzegovina,2_815,27_873,13_037,42.0,54.5,3.4,0.1,100,64.2
Botswana,1_409,14_684,4_550,73.0,24.8,2.1,0.1,100,80.0
Brazil,150_089,23_550,5_031,70.2,27.1,2.5,0.2,100,84.9
Brunei,304,44_541,13_634,44.0,49.6,6.0,0.4,100,78.7
Bulgaria,5_697,42_686,18_948,32.2,61.2,6.4,0.2,100,65.9
Burkina Faso,8_862,1_440,589,98.6,1.4,0.0,0.0,100,68.8
Burundi,5_131,609,250,99.6,0.4,0.0,0.0,100,68.1
Cambodia,9_797,5_395,2_029,90.5,9.1,0.4,0.0,100,71.8
Cameroon,11_754,2_840,1_036,95.5,4.3,0.2,0.0,100,74.3
Canada,29_136,294_255,107_004,20.4,28.4,46.7,4.5,100,72.8
Central African Republic,2_183,749,244,99.3,0.7,0.0,0.0,100,77.7
Chad,6_551,1_167,435,98.8,1.1,0.0,0.0,100,73.0
Chile,13_331,56_972,19_231,38.6,52.4,8.6,0.5,100,79.8
China,1_090_231,58_544,20_942,24.6,65.0,10.0,0.4,100,70.2
Colombia,34_254,16_411,5_325,68.3,29.7,1.9,0.1,100,77.0
Comoros,423,5_155,1_679,91.5,8.1,0.4,0.0,100,78.3
Costa Rica,3_547,33_683,11_793,46.3,48.6,4.9,0.2,100,75.0
Croatia,3_329,62_804,29_183,20.0,66.8,12.9,0.4,100,64.5
Cyprus,918,116_207,28_803,24.0,59.0,15.7,1.3,100,80.1
Czech Republic,8_509,64_663,20_854,23.3,66.9,9.3,0.5,100,72.5
Denmark,4_475,284_022,58_784,35.8,20.6,38.3,5.3,100,83.8
Djibouti,583,2_936,1_120,95.4,4.4,0.1,0.0,100,72.9
Dominica,55,33_306,9_447,52.0,42.8,4.9,0.3,100,82.3
Ecuador,10_725,19_144,6_399,62.9,34.7,2.2,0.1,100,75.9
Egypt,58_309,15_395,4_900,71.4,26.9,1.6,0.1,100,75.6
El Salvador,4_087,29_870,10_148,49.6,46.1,4.1,0.2,100,74.3
Equatorial Guinea,724,17_559,5_545,70.0,27.2,2.7,0.1,100,79.3
Eritrea,2_526,4_134,1_910,92.3,7.5,0.2,0.0,100,62.1
Estonia,1_028,78_458,24_915,23.5,61.0,14.8,0.7,100,71.6
Ethiopia,52_970,3_085,1_360,96.1,3.7,0.1,0.0,100,62.0
Europe,589_402,153_973,24_742,38.2,33.9,25.7,2.3,100,82.4
Fiji,580,15_598,6_126,64.0,34.2,1.7,0.1,100,70.2
Finland,4_341,183_124,55_532,19.0,43.8,34.8,2.4,100,74.2
France,49_722,276_121,101_942,14.0,35.5,46.3,4.2,100,69.6
Gabon,1_149,15_113,6_035,66.0,32.4,1.6,0.1,100,71.9
Gambia,969,2_141,694,96.6,3.3,0.1,0.0,100,77.1
Georgia,2_932,12_609,5_226,70.0,28.7,1.2,0.0,100,68.7
Germany,67_668,216_654,35_313,40.6,21.0,35.2,3.2,100,81.6
Ghana,15_377,4_292,1_706,92.5,7.2,0.2,0.0,100,69.9
Greece,9_021,96_110,40_000,14.3,61.3,23.6,0.8,100,65.4
Grenada,71,45_272,12_218,46.0,47.3,6.2,0.5,100,82.7
Guinea,6_268,2_185,802,96.9,3.0,0.1,0.0,100,74.1
Guinea-Bissau,936,1_647,655,98.1,1.8,0.1,0.0,100,71.2
Guyana,482,11_349,3_829,76.0,22.9,1.0,0.1,100,73.4
Haiti,6_426,723,214,99.3,0.7,0.0,0.0,100,80.1
Hong Kong SAR,6_267,489_258,146_887,13.0,29.3,49.5,8.2,100,77.7
Hungary,7_803,44_321,17_666,33.6,58.8,7.3,0.2,100,66.3
Iceland,250,380_868,165_961,16.0,23.0,54.5,6.5,100,69.4
India,865_783,14_569,3_042,78.2,20.0,1.7,0.1,100,83.2
Indonesia,172_908,10_545,1_977,81.6,17.3,1.0,0.1,100,83.3
Iran,57_686,13_437,5_254,68.8,29.7,1.4,0.0,100,70.5
Iraq,19_788,16_540,7_331,58.9,39.5,1.6,0.1,100,63.3
Ireland,3_491,272_310,104_842,25.8,23.3,46.5,4.5,100,79.6
Israel,5_499,196_568,58_066,18.0,46.2,33.5,2.4,100,77.7
Italy,48_509,234_139,91_889,5.8,46.2,44.9,3.1,100,66.9
Jamaica,2_002,20_878,6_798,61.0,36.2,2.6,0.1,100,77.5
Japan,104_963,238_104,110_408,4.6,42.6,49.9,2.9,100,62.6
Jordan,5_512,26_475,10_947,47.8,48.8,3.3,0.1,100,69.6
Kazakhstan,12_147,26_317,6_642,61.8,34.6,3.4,0.2,100,77.2
Kenya,25_384,9_791,3_553,77.5,21.5,0.9,0.0,100,74.5
Korea,41_721,175_015,72_198,0.0,66.9,31.3,1.8,100,60.6
Kuwait,3_086,131_269,46_218,29.3,44.2,24.5,2.0,100,76.3
Kyrgyzstan,3_721,5_758,2_412,88.0,11.6,0.4,0.0,100,68.1
Laos,4_042,6_720,2_002,87.2,12.0,0.7,0.0,100,79.4
Latin America,440_218,22_502,4_929,66.6,30.5,2.8,0.2,100,82.8
Latvia,1_536,60_347,13_348,44.0,45.0,10.4,0.6,100,78.9
Lebanon,4_205,55_226,12_198,45.2,46.0,8.2,0.5,100,81.9
Lesotho,1_233,1_313,384,98.1,1.9,0.1,0.0,100,80.5
Liberia,2_350,2_169,820,97.1,2.8,0.1,0.0,100,72.7
Libya,4_169,19_473,8_330,55.2,42.7,2.0,0.1,100,65.9
Lithuania,2_296,50_254,22_261,28.0,63.6,8.1,0.3,100,66.3
Luxembourg,461,358_003,139_789,0.0,40.0,55.1,4.9,100,67.0
Madagascar,12_909,1_610,626,98.1,1.8,0.1,0.0,100,72.2
Malawi,8_798,1_313,468,98.4,1.5,0.1,0.0,100,75.1
Malaysia,21_823,31_270,8_940,53.4,42.7,3.7,0.2,100,79.6
Maldives,315,23_297,8_555,54.0,42.8,3.1,0.1,100,72.4
Mali,8_088,1_955,773,97.6,2.3,0.1,0.0,100,70.7
Malta,349,143_566,76_016,14.0,48.0,36.7,1.3,100,64.0
Mauritania,2_310,2_397,976,97.0,2.9,0.1,0.0,100,68.1
Mauritius,951,50_796,20_875,30.0,60.0,9.7,0.3,100,66.2
Mexico,85_594,31_553,9_944,50.2,45.2,4.4,0.2,100,77.7
Moldova,3_193,12_804,5_855,66.2,32.6,1.1,0.0,100,64.5
Mongolia,1_986,6_135,2_654,86.5,13.1,0.4,0.0,100,66.8
Montenegro,477,53_484,24_242,25.0,65.0,9.7,0.3,100,64.8
Morocco,23_613,12_929,4_010,75.5,23.1,1.3,0.1,100,76.6
Mozambique,13_814,880,352,99.3,0.7,0.0,0.0,100,71.6
Myanmar,34_915,3_323,1_556,96.1,3.8,0.1,0.0,100,59.7
Namibia,1_395,17_220,5_502,69.5,27.8,2.7,0.1,100,78.8
Nepal,17_585,3_870,1_510,94.0,5.8,0.2,0.0,100,71.0
Netherlands,13_326,279_077,31_057,45.1,13.4,35.3,6.2,100,90.2
New Zealand,3_525,304_124,116_437,9.3,36.8,48.8,5.2,100,67.2
Nicaragua,3_937,9_279,3_005,80.5,18.6,0.9,0.0,100,75.9
Niger,8_909,1_126,463,99.1,0.9,0.0,0.0,100,68.2
Nigeria,90_731,4_881,1_249,92.9,6.7,0.4,0.0,100,80.9
North America,274_381,417_694,69_162,26.2,30.7,35.8,7.3,100,84.3
Norway,4_100,267_348,70_627,28.2,27.0,40.8,4.0,100,79.8
Oman,3_608,43_291,14_723,43.2,50.2,6.2,0.3,100,78.6
Pakistan,113_388,4_098,1_766,93.4,6.4,0.2,0.0,100,66.5
Panama,2_711,39_980,13_259,44.7,48.9,6.1,0.3,100,78.0
Papua New Guinea,4_611,6_485,2_120,87.2,12.2,0.6,0.0,100,76.6
Paraguay,4_268,11_865,3_887,75.6,23.1,1.2,0.1,100,76.8
Peru,21_132,17_843,4_989,71.2,26.8,1.9,0.1,100,78.8
Philippines,63_365,12_063,2_618,84.1,14.7,1.1,0.1,100,83.7
Poland,30_598,57_873,22_600,26.8,62.6,10.2,0.4,100,67.7
Portugal,8_373,131_088,44_025,14.7,54.7,29.3,1.4,100,69.2
Qatar,2_223,147_745,69_671,10.7,49.7,38.4,1.3,100,63.3
Romania,15_517,43_074,19_582,29.8,62.9,7.2,0.2,100,64.7
Russia,111_481,27_381,3_683,79.1,18.1,2.7,0.2,100,87.9
Rwanda,6_313,3_435,1_259,94.4,5.4,0.2,0.0,100,74.2
Samoa,106,37_066,13_286,44.0,50.2,5.5,0.3,100,74.7
