"_","ST","StateFIPS","Population","Deaths","U_C_Rate","_"
"","","","","","",""
"2008-2014, United States","","","","","",""
"Death Rates per 100,000 Population","","","","","",""
"Firearm, Suicide, All Races, All Ethnicities, Both Sexes, All Ages","","","","","",""
"Annualized Crude Rate for United States: 6.40","","","","","",""
"","","","","","",""
"","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  States with these rates are cross-hatched in the map (see legend above). Such rates have an asterisk.","","","","","",""
"","","","","","",""
"m8886864 created 08DEC16:13:22     downloaded 09JAN20:16:39","","","","","",""
"","","","","","",""
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.","","","","","",""
"","","","","","",""
"","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","ST","StateFIPS","Population","Deaths","U_C_Rate",""
"","AL","1","33558432","3292","9.809755116",""
"","AK","2","5024225","734","14.60921834",""
"","AZ","4","45411117","4440","9.777341526",""
"","AR","5","20500179","2077","10.13161885",""
"","CA","6","263818096","10755","4.076672587",""
"","CO","8","35830443","3272","9.131899374",""
"","CT","9","25062400","751","2.996520684",""
"","DE","10","6359102","333","5.236588437",""
"","DC","11","4337658","67","1.544612323",""
"","FL","12","133938024","10467","7.814808437",""
"","GA","13","68637645","5156","7.511912741",""
"","HI","15","9638796","247","2.562560718",""
"","ID","16","11083018","1232","11.11610574",""
"","IL","17","89878068","3262","3.629361503",""
"","IN","18","45589693","3338","7.321830397",""
"","IA","19","21436265","1292","6.027169379",""
"","KS","20","20049651","1604","8.000139254",""
"","KY","21","30512862","3045","9.979398196",""
"","LA","22","31920282","2668","8.358322148",""
"","ME","23","9303773","782","8.405192173",""
"","MD","24","40839701","1785","4.370746985",""
"","MA","25","46256590","854","1.846223425",""
"","MI","26","69300707","4333","6.252461465",""
"","MN","27","37440030","2129","5.686427067",""
"","MS","28","20824763","1905","9.14776317",""
"","MO","29","42018262","3584","8.529624571",""
"","MT","30","6991079","1010","14.44698308",""
"","NE","31","12883593","767","5.953308211",""
"","NV","32","19143270","2022","10.56245876",""
"","NH","33","9237313","633","6.852642105",""
"","NJ","34","61826877","1264","2.04441832",""
"","NM","35","14442111","1508","10.44168681",""
"","NY","36","136468396","3270","2.396159181",""
"","NC","37","67487062","5021","7.439944563",""
"","ND","38","4845414","436","8.998199122",""
"","OH","39","80842617","5052","6.249179192",""
"","OK","40","26472654","2804","10.59206228",""
"","OR","41","27073057","2561","9.459589288",""
"","PA","42","89064065","5874","6.59525253",""
"","RI","44","7374400","193","2.617162074",""
"","SC","45","32744318","2920","8.9175777",""
"","SD","46","5777731","477","8.255836071",""
"","TN","47","44799722","4257","9.502291108",""
"","TX","48","179470855","11788","6.568197382",""
"","UT","49","19666542","1812","9.213617727",""
"","VT","50","4380714","407","9.290722928",""
"","VA","51","56660701","4044","7.13722197",""
"","WA","53","47707906","3431","7.191680138",""
"","WV","54","12956295","1400","10.80555822",""
"","WI","55","39931436","2555","6.398467613",""
"","WY","56","3981420","605","15.19558349",""
