"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"IL","Israel","2023","TOTAL","9256230","100","4657274","100","4598956","100","1.0126807040554422"
"IL","Israel","2023","0 - 4","875262","9.455923199834057","447951","9.618308907743026","427311","9.291478326820261","1.0483020563477186"
"IL","Israel","2023","5 - 9","864394","9.33851038705823","442159","9.493944311629507","422235","9.181105450889289","1.0471869930252111"
"IL","Israel","2023","10 - 14","816783","8.824143306724228","417655","8.967799618403385","399128","8.678665331870974","1.0464186927501955"
"IL","Israel","2023","15 - 19","737202","7.964387228925815","376535","8.084879695718998","360667","7.842366832820319","1.043996262480349"
"IL","Israel","2023","20 - 24","691985","7.475883810147328","352815","7.575568884287247","339170","7.374934659083496","1.0402305628445911"
"IL","Israel","2023","25 - 29","635075","6.86105466264343","323641","6.949150941086997","311434","6.7718412613645365","1.0391961057559547"
"IL","Israel","2023","30 - 34","601660","6.500054557849146","307115","6.594308172549006","294545","6.404605740955121","1.0426759917839379"
"IL","Israel","2023","35 - 39","579791","6.263792062211072","295966","6.354919208103281","283825","6.171509359950389","1.0427763586717167"
"IL","Israel","2023","40 - 44","546957","5.909068810952191","279073","5.992196293368181","267884","5.8248872135328105","1.0417680787206403"
"IL","Israel","2023","45 - 49","532146","5.749057661704604","271653","5.832875626385736","260493","5.664176826218821","1.0428418421992145"
"IL","Israel","2023","50 - 54","476789","5.151006403254889","241965","5.1954211841519315","234824","5.106028411665604","1.0304100091983783"
"IL","Israel","2023","55 - 59","411261","4.443072395564933","209788","4.504523461578597","201473","4.380842086769258","1.0412710387992437"
"IL","Israel","2023","60 - 64","362825","3.9197923992813486","180114","3.867369624376835","182711","3.972879931880192","0.9857862963915692"
"IL","Israel","2023","65 - 69","333167","3.599381173544737","159012","3.414271953937003","174155","3.7868377083842506","0.9130487209669548"
"IL","Israel","2023","70 - 74","300690","3.248514784096765","141258","3.0330618297312975","159432","3.4666998336144115","0.8860078277886497"
"IL","Israel","2023","75 - 79","219669","2.3732016166409005","100007","2.147329102818516","119662","2.601938352965325","0.8357456836756865"
"IL","Israel","2023","80 - 84","131176","1.4171644395180327","56458","1.2122542070747824","74718","1.624673077976828","0.755614443641425"
"IL","Israel","2023","85 - 89","89231","0.9640101855723119","36147","0.7761407209453427","53084","1.1542619672812697","0.6809396428302313"
"IL","Israel","2023","90 - 94","39200","0.4234985517862023","14520","0.3117703618039222","24680","0.5366435338802981","0.5883306320907618"
"IL","Israel","2023","95 - 99","9883","0.10677133130875098","3122","0.06703492214544388","6761","0.14701162611688393","0.4617660109451265"
"IL","Israel","2023","100+","1084","0.011711031381026617","320","0.006870972160967983","764","0.016612465959665628","0.418848167539267"
