"Country","totalFertilityRate_fertilityRate2023"
"India",2.07
"China",1.45
"United States",1.84
"Indonesia",1.99
"Pakistan",3.39
"Nigeria",4.57
"Brazil",1.75
"Bangladesh",2.08
"Russia",1.51
"Ethiopia",3.92
"Mexico",1.73
"Japan",1.39
"Egypt",2.76
"Philippines",2.77
"DR Congo",5.56
"Vietnam",2.04
"Iran",1.92
"Turkey",1.91
"Germany",1.58
"Thailand",1.54
"United Kingdom",1.63
"Tanzania",4.33
"France",1.9
"South Africa",2.31
"Italy",1.24
"Kenya",3.23
"Myanmar",2
"Colombia",1.94
"South Korea",1.11
"Sudan",4.54
"Uganda",5.26
"Spain",1.29
"Algeria",2.97
"Iraq",3.17
"Argentina",2.17
"Afghanistan",4.53
"Yemen",2.91
"Canada",1.57
"Poland",1.31
"Morocco",2.27
"Angola",5.76
"Ukraine",1.22
"Uzbekistan",2.92
"Malaysia",1.74
"Mozambique",4.74
"Ghana",3.61
"Peru",2.18
"Saudi Arabia",1.89
"Madagascar",3.55
"Ivory Coast",3.47
"Nepal",1.88
"Cameroon",4.5
"Venezuela",2.2
"Niger",6.73
"Australia",1.73
"North Korea",1.82
"Syria",2.74
"Mali",5.45
"Burkina Faso",4.14
"Taiwan",1.09
"Sri Lanka",2.14
"Malawi",3.3
"Zambia",4.49
"Kazakhstan",2.59
"Chad",5.35
"Chile",1.75
"Romania",1.63
"Somalia",5.22
"Senegal",4.17
"Guatemala",2.57
"Netherlands",1.61
"Ecuador",2.24
"Cambodia",2.2
"Zimbabwe",3.51
"Guinea",4.82
"Benin",5.39
"Rwanda",3.23
"Burundi",4.96
"Bolivia",2.26
"Tunisia",1.96
"South Sudan",5.2
"Haiti",2.49
"Belgium",1.77
"Jordan",2.91
"Dominican Republic",2.13
"United Arab Emirates",1.62
"Cuba",1.71
"Honduras",2.37
"Czech Republic",1.74
"Sweden",1.67
"Tajikistan",3.6
"Papua New Guinea",3.85
"Portugal",1.44
"Azerbaijan",1.69
"Greece",1.4
"Hungary",1.59
"Togo",4.18
"Israel",2.94
"Austria",1.51
"Belarus",1.45
"Switzerland",1.59
"Sierra Leone",3.71
"Laos",2.3
"Turkmenistan",2.03
"Hong Kong",1.23
"Libya",3.04
"Kyrgyzstan",2.47
"Paraguay",1.88
"Nicaragua",1.85
"Bulgaria",1.51
"Serbia",1.46
"El Salvador",2.04
"Republic of the Congo",3.86
"Denmark",1.77
"Singapore",1.17
"Lebanon",1.71
"Finland",1.74
"Liberia",4.03
"Norway",1.57
"Slovakia",1.6
"Palestine",3.54
"Central African Republic",3.99
"Oman",2.67
"Ireland",1.72
"New Zealand",1.86
"Mauritania",3.46
"Costa Rica",1.4
"Kuwait",2.22
"Panama",2.37
"Croatia",1.46
"Georgia",1.96
"Eritrea",3.5
"Mongolia",1.89
"Uruguay",1.75
"Puerto Rico",1.25
"Bosnia and Herzegovina",1.37
"Qatar",1.9
"Moldova",1.25
"Namibia",2.94
"Armenia",1.65
"Lithuania",1.61
"Jamaica",2.05
"Albania",1.55
"Gambia",3.66
"Gabon",3.26
"Botswana",2.37
"Lesotho",2.88
"Guinea-Bissau",4.65
"Slovenia",1.6
"Equatorial Guinea",4.19
"Latvia",1.55
"North Macedonia",1.52
"Bahrain",1.66
"Trinidad and Tobago",1.63
"Timor-Leste",4.09
"Estonia",1.62
"Cyprus",1.48
"Mauritius",1.35
"Eswatini",2.41
"Djibouti",2.13
"Fiji",2.23
"Comoros",2.69
"Guyana",2.06
"Solomon Islands",2.82
"Bhutan",1.77
"Macau",1.23
"Luxembourg",1.63
"Montenegro",1.81
"Suriname",1.91
"Malta",1.51
"Maldives",1.7
"Cape Verde",2.11
"Brunei",1.74
"Belize",2.08
"Bahamas",1.44
"Iceland",1.95
"Vanuatu",2.59
"New Caledonia",1.84
"Barbados",1.7
"French Polynesia",1.8
"Sao Tome and Principe",3.44
"Samoa",2.37
"Curacao",1.97
"Saint Lucia",1.72
"Guam",2.76
"Kiribati",2.18
"Seychelles",1.81
"Grenada",1.92
"Micronesia",2.22
"Aruba",1.82
"Tonga",2.7
"Jersey",1.66
"Saint Vincent and the Grenadines",1.74
"Antigua and Barbuda",1.94
"United States Virgin Islands",1.98
"Isle of Man",1.88
"Andorra",1.46
"Cayman Islands",1.82
"Dominica",2.01
"Bermuda",1.89
"Guernsey",1.59
"Greenland",1.9
"Faroe Islands",2.28
"Saint Kitts and Nevis",1.76
"American Samoa",2.13
"Turks and Caicos Islands",1.7
"Northern Mariana Islands",2.59
"Sint Maarten",1.98
"Liechtenstein",1.69
"British Virgin Islands",1.37
"Gibraltar",1.9
"Monaco",1.53
"Marshall Islands",2.72
"San Marino",1.53
"Saint Martin",1.8
"Palau",1.7
"Anguilla",1.72
"Cook Islands",2.04
"Nauru",2.58
"Saint Barthelemy",1.64
"Tuvalu",2.81
"Saint Pierre and Miquelon",1.59
"Montserrat",1.32
