Country,Elementary occupations,Clerical occupations,Technicians,Professionals,Senior officials
Afghanistan,6.0,,,82.0,
Albania,36.0,46.0,70.0,84.0,60.0
Algeria,,,,,
Angola,21.0,48.0,59.0,71.0,67.0
Argentina,4.0,,46.0,49.0,35.0
Armenia,,,,,
Australia,14.0,18.0,28.0,46.0,20.0
Austria,21.0,14.0,30.0,57.0,17.0
Azerbaijan,24.0,,,,69.0
Bangladesh,4.0,47.0,37.0,32.0,39.0
Barbados,,,,,
Belarus,,,,,
Belgium,38.0,31.0,43.0,60.0,25.0
Belize,,,,,
Benin,,,,,
Bhutan,35.0,56.0,76.0,86.0,49.0
Bolivia,17.0,27.0,32.0,65.0,25.0
Bosnia and Herzegovina,,,,,
Botswana,18.0,52.0,69.0,72.0,56.0
Brazil,7.0,23.0,34.0,52.0,18.0
Brunei,,,,,
Bulgaria,11.0,17.0,25.0,52.0,25.0
Burkina Faso,17.0,,64.0,73.0,44.0
Burundi,,,,,
Cabo Verde,35.0,60.0,65.0,79.0,40.0
Cambodia,1.0,53.0,39.0,73.0,77.0
Cameroon,4.0,28.0,40.0,48.0,41.0
Canada,,,,,
Central African Republic,,,,,
Chad,37.0,61.0,13.0,69.0,66.0
Chile,5.0,13.0,21.0,27.0,17.0
China,7.0,77.0,18.0,47.0,
Colombia,10.0,1.0,4.0,6.0,47.0
Comoros,24.0,56.0,80.0,78.0,78.0
Congo,,,,,
Costa Rica,5.0,22.0,29.0,59.0,36.0
Croatia,18.0,21.0,24.0,59.0,26.0
Cyprus,18.0,19.0,26.0,50.0,26.0
Czech Republic,17.0,24.0,28.0,51.0,22.0
Dem. Rep. Congo,9.0,52.0,56.0,53.0,74.0
Denmark,20.0,26.0,25.0,65.0,26.0
Djibouti,43.0,59.0,66.0,81.0,70.0
Dominica,,,,,
Dominican Republic,18.0,26.0,44.0,60.0,30.0
East Asia & Pacific,17.0,47.0,49.0,67.0,59.0
Ecuador,4.0,19.0,29.0,62.0,36.0
"Egypt, Arab Rep.",7.0,65.0,75.0,80.0,77.0
El Salvador,4.0,15.0,29.0,51.0,42.0
Estonia,16.0,12.0,30.0,49.0,20.0
Eswatini,8.0,26.0,55.0,71.0,39.0
Ethiopia,26.0,78.0,79.0,85.0,79.0
Europe & Central Asia,,,,,35.0
